axis,stage,frequency_hz,input_psd,gain,phase_deg,coherence
Roll,rc_to_gyro,3.41796875,6.5993417992489,1.0737777145677023,-22.760993390121207,0.9543639708459594
Roll,rc_to_gyro,3.662109375,6.442047651551749,1.069783518457331,-23.895496071259778,0.9570811166773697
Roll,rc_to_gyro,3.90625,5.512604922176514,1.0066529447084083,-24.997593436188343,0.9459718897053978
Roll,rc_to_gyro,4.150390625,4.269293846008341,1.0338846490284,-22.539981039119443,0.9251593566211106
Roll,rc_to_gyro,4.39453125,3.4108579809256265,1.171308361893757,-20.933794349875285,0.950406195352964
Roll,rc_to_gyro,4.638671875,3.41638024342483,1.1804028483081024,-24.314409731252763,0.9498337211422699
Roll,rc_to_gyro,4.8828125,3.716429619178176,1.147405650953868,-29.577687752652555,0.9473828581916439
Roll,rc_to_gyro,5.126953125,3.7955733761794104,1.144111668081274,-33.115012911683245,0.9510333032181428
Roll,rc_to_gyro,5.37109375,3.308168437406582,1.1291314894313051,-34.480891994507665,0.9645314135367598
Roll,rc_to_gyro,5.615234375,2.5420938699742175,1.1139104216648803,-36.03772952218519,0.9564896489525868
Roll,rc_to_gyro,5.859375,2.0380084382679815,1.1749713421429926,-38.12537134019583,0.9339301895577868
Roll,rc_to_gyro,6.103515625,1.6472763306481515,1.2181293343362818,-42.79292582246831,0.9294430461728643
Roll,rc_to_gyro,6.34765625,1.32584797054956,1.2214023702843058,-46.68765625272062,0.9062190910875931
Roll,rc_to_gyro,6.591796875,1.0385593652815832,1.2107092937597022,-50.24713744811155,0.8461925450738439
Roll,rc_to_gyro,6.8359375,0.8031542051376851,1.14768629665768,-58.74810849477696,0.7953315295587482
Roll,rc_to_gyro,7.080078125,0.6296671214847949,1.2005396116163176,-63.03128389770243,0.8068430594925141
Roll,rc_to_gyro,7.32421875,0.5196995696612879,1.1470018346783715,-66.90515896751893,0.6731522405372988
Roll,rc_to_gyro,7.568359375,0.4105918493255068,0.9720783404312738,-67.77021931726077,0.5307103048992274
Roll,rc_to_gyro,7.8125,0.34897866422073287,0.9014788170473234,-67.9213819829814,0.5349869452696013
Roll,rc_to_gyro,8.056640625,0.25471699789750296,0.8655794277145933,-74.0738267768801,0.4625427118344274
Roll,rc_to_gyro,8.30078125,0.16448386010765337,1.0107878907983041,-82.50004659421874,0.46887850953335525
Roll,rc_to_gyro,8.544921875,0.08726315311262288,1.3442256542086717,-82.32044097617428,0.4857053401012307
Roll,rc_to_gyro,8.7890625,0.06279982831466677,1.3847700607829105,-74.48122502783612,0.36740599064694407
Roll,rc_to_gyro,9.033203125,0.06804302401314553,1.073009281041497,-83.73890578122054,0.25560442408521594
Roll,rc_to_gyro,9.27734375,0.08260652385003653,0.877915654536932,-81.0170998287608,0.23767257175914436
Roll,rc_to_gyro,9.521484375,0.08645401510847535,0.6025361881756555,-68.2874815389094,0.13985523391759097
Roll,rc_to_gyro,9.765625,0.0725704747182165,0.9765844934754232,-77.10253717432991,0.2728798792549871
Roll,rc_to_gyro,10.009765625,0.06991354309679863,1.2119577483440138,-81.97126522148693,0.325168068132339
Roll,rc_to_gyro,10.25390625,0.08779845576097,1.0733198695904018,-84.89774205890888,0.36355174248719085
Roll,rc_to_gyro,10.498046875,0.11967504131223287,1.0312856795753318,-81.4568917810618,0.47360955048800923
Roll,rc_to_gyro,10.7421875,0.13481394885909942,1.1152520818331406,-86.34228904589445,0.5303234869615803
Roll,rc_to_gyro,10.986328125,0.15041455851947297,1.1376658516035962,-84.46860311153314,0.6550341523501547
Roll,rc_to_gyro,11.23046875,0.14725638741913938,1.0057499129243135,-83.98380785743004,0.5304716211383673
Roll,rc_to_gyro,11.474609375,0.12739180515347298,1.0360982507584484,-75.9499019535397,0.5080353054359659
Roll,rc_to_gyro,11.71875,0.10357682259418005,1.2317081178908391,-75.60653227972604,0.5481036887705616
