axis,start_s,end_s,stage,method,lag_ms,correlation,input_std_deg_s
Roll,24,28,inner,bandpassed_level,3.7972784561232915,0.9993262075226373,28.17915904740672
Roll,24,28,inner,bandpassed_derivative,5.771111435686228,0.9935393538088234,28.17915904740672
Roll,24,28,smoothing,bandpassed_level,16.234327268380156,0.9999161618994744,28.17915904740672
Roll,24,28,smoothing,bandpassed_derivative,16.238300098225537,0.9987540987563139,28.17915904740672
Roll,24,28,rc_to_gyro,bandpassed_level,20.103614455237096,0.9993799533240338,28.17915904740672
Roll,24,28,rc_to_gyro,bandpassed_derivative,22.437790039938,0.993416284532298,28.17915904740672
Roll,26,30,inner,bandpassed_level,23.801056767409797,0.9623360207720915,48.824366020077804
Roll,26,30,inner,bandpassed_derivative,23.45458362536023,0.3573241352895095,48.824366020077804
Roll,26,30,smoothing,bandpassed_level,15.854902675097971,0.9998305028575496,48.824366020077804
Roll,26,30,smoothing,bandpassed_derivative,15.480856495622234,0.9800730425732693,48.824366020077804
Roll,26,30,rc_to_gyro,bandpassed_level,37.58873459105624,0.9619088096891806,48.824366020077804
Roll,26,30,rc_to_gyro,bandpassed_derivative,39.03902892846224,0.3359524446794531,48.824366020077804
Roll,27,31,inner,bandpassed_level,6.302421608073818,0.9830031051281413,48.32374938936236
Roll,27,31,inner,bandpassed_derivative,15.223809791946673,0.5871307226631286,48.32374938936236
Roll,27,31,smoothing,bandpassed_level,16.397707355936262,0.9999249121669284,48.32374938936236
Roll,27,31,smoothing,bandpassed_derivative,15.747199994015952,0.9933852250464401,48.32374938936236
Roll,27,31,rc_to_gyro,bandpassed_level,22.741727064313764,0.9831516927235372,48.32374938936236
Roll,27,31,rc_to_gyro,bandpassed_derivative,30.731837896812426,0.580139193262319,48.32374938936236
Roll,30,34,inner,bandpassed_level,2.808305885386587,0.9954345151555135,23.69078611410405
Roll,30,34,inner,bandpassed_derivative,11.07929742988162,0.7521986118992388,23.69078611410405
Roll,30,34,smoothing,bandpassed_level,16.32482363571702,0.9999224998569246,23.69078611410405
Roll,30,34,smoothing,bandpassed_derivative,15.77335600321807,0.989359315177323,23.69078611410405
Roll,30,34,rc_to_gyro,bandpassed_level,20.585055243690732,0.9953675835412537,23.69078611410405
Roll,30,34,rc_to_gyro,bandpassed_derivative,29.295481843653256,0.7506221326299822,23.69078611410405
Roll,31,35,inner,bandpassed_level,2.5779932936236225,0.9722585199547705,14.587073627491037
Roll,31,35,inner,bandpassed_derivative,13.229688594868984,0.7211681940322653,14.587073627491037
Roll,31,35,smoothing,bandpassed_level,16.798842926958073,0.9996481859274953,14.587073627491037
Roll,31,35,smoothing,bandpassed_derivative,16.465139295794632,0.9882698538727956,14.587073627491037
Roll,31,35,rc_to_gyro,bandpassed_level,19.300262996524513,0.9701691436888218,14.587073627491037
Roll,31,35,rc_to_gyro,bandpassed_derivative,26.047373360318623,0.6864546898659246,14.587073627491037
Roll,34,38,inner,bandpassed_level,5.628264792990943,0.9987869585005617,15.798292971479977
Roll,34,38,inner,bandpassed_derivative,9.26044351337688,0.8594226783447834,15.798292971479977
Roll,34,38,smoothing,bandpassed_level,16.148239115069476,0.9998936651380013,15.798292971479977
Roll,34,38,smoothing,bandpassed_derivative,15.8648744883185,0.9837773267643336,15.798292971479977
Roll,34,38,rc_to_gyro,bandpassed_level,21.720410376408992,0.9989191621193532,15.798292971479977
Roll,34,38,rc_to_gyro,bandpassed_derivative,24.429355336807596,0.8821126988123803,15.798292971479977
Roll,35,39,inner,bandpassed_level,2.017670443676894,0.9996369323041476,53.43990970983357
Roll,35,39,inner,bandpassed_derivative,8.304459541712992,0.9654250236470489,53.43990970983357
Roll,35,39,smoothing,bandpassed_level,16.05905896505666,0.9999715064408298,53.43990970983357
Roll,35,39,smoothing,bandpassed_derivative,15.579572165593062,0.9958619105518353,53.43990970983357
Roll,35,39,rc_to_gyro,bandpassed_level,18.169678098069703,0.9996438226283978,53.43990970983357
Roll,35,39,rc_to_gyro,bandpassed_derivative,23.952958677876836,0.969205159700994,53.43990970983357
Roll,36,40,inner,bandpassed_level,2.065199426617994,0.9996161652787359,50.831742743552496
Roll,36,40,inner,bandpassed_derivative,8.487818833536355,0.9633096349269141,50.831742743552496
Roll,36,40,smoothing,bandpassed_level,16.10924104733979,0.9999712132192144,50.831742743552496
Roll,36,40,smoothing,bandpassed_derivative,15.366476605077985,0.9958819187214338,50.831742743552496
Roll,36,40,rc_to_gyro,bandpassed_level,18.28710644268986,0.9996234249910086,50.831742743552496
Roll,36,40,rc_to_gyro,bandpassed_derivative,24.05587175644983,0.966849800568158,50.831742743552496
Roll,37,41,inner,bandpassed_level,2.084508764568245,0.9995922768553321,46.905039269482884
Roll,37,41,inner,bandpassed_derivative,8.529353600470643,0.9632223381909232,46.905039269482884
Roll,37,41,smoothing,bandpassed_level,16.10236847446972,0.9999702118429491,46.905039269482884
Roll,37,41,smoothing,bandpassed_derivative,15.326731689167696,0.995873071111612,46.905039269482884
Roll,37,41,rc_to_gyro,bandpassed_level,18.306003001993826,0.9995917642200471,46.905039269482884
Roll,37,41,rc_to_gyro,bandpassed_derivative,24.125500518059088,0.96501011556468,46.905039269482884
