t,epoch,px,py,pz,vx,vy,vz,yaw,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar
26.358481408000003,0,-6.469864806135842,3.4542377001554785,5.430000007683603,-0.28,-0.4,0.7000000000000001,2.2759093446006062,1.552516,1.552516,4.4647689999999995,0.18062499999999998,0.18062499999999998,0.18062499999999998,0.030461741978670857
26.458604800000003,0,-6.519760974779274,3.4098102887055175,5.433005118816681,-0.2,-0.21,0.51,2.2759093446006062,1.5500250000000002,1.5500250000000002,4.481689,0.174724,0.174724,0.174724,0.030461741978670857
26.556770816,0,-6.569657156734115,3.3542760120143926,5.43595148111703,-0.37,-0.61,0.61,2.2759093446006062,1.547536,1.547536,4.477456,0.192721,0.192721,0.192721,0.030461741978670857
26.65895296,0,-6.627869369137642,3.2876348806796436,5.4390183837898505,-0.17,-0.45,0.62,2.274164015348611,1.542564,1.542564,4.4647689999999995,0.191844,0.191844,0.191844,0.030461741978670857
26.759099904000003,0,-6.661133478591858,3.2654211822902424,5.442024201814455,-0.3,0.31,0.74,2.274164015348611,1.542564,1.542564,4.468996,0.16810000000000003,0.16810000000000003,0.16810000000000003,0.030461741978670857
26.875263232000002,0,-6.669449500362808,3.2654211897711405,5.445510736811478,0.22,0.1,0.58,2.274164015348611,1.5400810000000003,1.5400810000000003,4.477456,0.2025,0.2025,0.2025,0.030461741978670857
26.959403264000002,0,-6.677765532739757,3.2543143337456346,5.448036122156999,0.2,0.01,0.72,2.274164015348611,1.5376,1.5376,4.4647689999999995,0.196249,0.196249,0.196249,0.030461741978670857
27.057586432,0,-6.669449500362808,3.2654211897711405,5.450982999258784,0.16,0.46,1.05,2.274164015348611,1.5351210000000002,1.5351210000000002,4.4521,0.205209,0.205209,0.205209,0.030461741978670857
27.157731584,0,-6.6445013838454745,3.320955488911154,5.453988763498167,0.44,0.88,0.6900000000000001,2.274164015348611,1.532644,1.532644,4.4268160000000005,0.210681,0.210681,0.210681,0.030461741978670857
27.259852032,0,-6.644501332259719,3.3764898107464676,5.45705381442253,0.74,0.75,0.5700000000000001,2.274164015348611,1.5301690000000003,1.5301690000000003,4.405801000000001,0.178084,0.178084,0.178084,0.030461741978670857
27.358011392,0,-6.636185246742722,3.4431309879236407,5.4599999769491845,0.11,0.84,0.76,2.274164015348611,1.5252250000000003,1.5252250000000003,4.384835999999999,0.201601,0.201601,0.201601,0.030461741978670857
27.458186240000003,0,-6.6278691633005495,3.5097721663850816,5.427988350624517,0.47000000000000003,0.6900000000000001,0.54,2.274164015348611,1.522756,1.522756,4.368099999999999,0.198025,0.198025,0.198025,0.030461741978670857
