t,mode,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,ref_p_x,ref_p_y,ref_p_z,ref_v_x,ref_v_y,ref_v_z,ref_w_x,ref_w_y,ref_w_z,ref_thrust,cmd_thrust,cmd_w_x,cmd_w_y,cmd_w_z,rc_a,rc_e,rc_t,rc_r,rc_aux1,has_reference,in_trajectory,est_p_x,est_p_y,est_p_z,ahrs_tilt_err_deg,ahrs_yaw_err_deg,ahrs_acc_weight,msp_tilt_err_deg
9.225,FLIGHT,0.00295363259,-0.0387305342,0.914603672,0.706602039,-0.00265111,-0.000577860242,0.707605962,-0.0516653776,0.00585902809,0.985081399,0.384852071,-0.00732660157,-0.00227208744,-0.000964342681,-0.0715727717,0.936280797,0.0368300828,0.0690112163,0.944251489,-0.0409073071,-0.0782990972,0.000451915856,8.52197395,8.69459789,0.297227826,0.0179790022,-0.00260504931,1551,1506,1387,1499,2000,1,0,0.0060245957,-0.0436420699,0.896603612,0.0845578036,0.066796833,0.787134873,1.01033894
9.235,FLIGHT,0.00243375986,-0.0386711376,0.924376168,0.706615451,-0.00151707565,0.00073081242,0.707595766,-0.0522142362,0.00607712014,0.97067652,0.414544564,0.0141812308,-0.00598187392,-0.000597109991,-0.0708844905,0.94565829,0.0366108836,0.0686343361,0.931169269,-0.0404780483,-0.0775373105,0.000451285541,8.47527147,8.64570809,0.271230801,0.0134614977,-0.00513973725,1549,1505,1386,1498,2000,1,0,0.00486381902,-0.0436024505,0.907065133,0.0616491197,0.0685047288,0.807238879,0.811420857
9.245,FLIGHT,0.00191194298,-0.0386091402,0.933999647,0.70661724,-0.000503480504,0.00199661775,0.707592988,-0.052172729,0.00637987651,0.955450089,0.405257059,0.0370656586,0.00329697619,-0.000232235284,-0.0702002966,0.95490265,0.0363586143,0.0681939863,0.917627673,-0.0399685141,-0.0766213322,0.000450344484,8.43018924,8.60014161,0.247090634,0.00724516492,-0.000924536816,1546,1503,1385,1500,2000,1,0,0.00370056965,-0.0435616083,0.91737613,0.0740891375,0.0685222863,0.853741741,0.61650555
9.255,FLIGHT,0.00139340679,-0.0385440022,0.943468298,0.706599556,0.000542908484,0.00338043602,0.70760536,-0.0516427827,0.00672948984,0.939788131,0.380422554,0.0484109634,0.00296127029,0.000129954506,-0.0695208178,0.964009366,0.0360740205,0.0676915498,0.903643133,-0.0393776639,-0.0755490657,0.000449095933,8.38678393,8.55702838,0.225897857,0.00124250397,-0.00129261301,1543,1501,1384,1499,2000,1,0,0.00253957154,-0.0435191123,0.927531518,0.0977455816,0.06818511,0.891803335,0.577136445
9.265,FLIGHT,0.000882085496,-0.0384751451,0.952778458,0.706600283,0.00153045411,0.00478865791,0.707595058,-0.0507691415,0.00713280842,0.923789601,0.340244039,0.0536630671,-0.0068588413,0.000489139991,-0.0688466677,0.972974093,0.0357578873,0.0671284863,0.889232645,-0.0387047363,-0.074318945,0.000447543332,8.34511035,8.51040589,0.204777898,0.0107665428,-0.00588186454,1540,1504,1383,1498,2000,1,0,0.00138412198,-0.0434763318,0.937527739,0.110539605,0.0679506739,0.914975142,0.638884853
9.275,FLIGHT,0.000381129836,-0.0384020284,0.961926754,0.706619023,0.00227352127,0.00583726775,0.707566473,-0.0495915208,0.00757323071,0.907450473,0.312059041,0.0415146447,-0.00667256084,0.00084500986,-0.068178445,0.981792657,0.0354110379,0.0665063305,0.874413745,-0.0379492712,-0.072929977,0.000445690325,8.30522137,8.46730933,0.186926754,0.00684875944,-0.00593897056,1538,1503,1382,1498,2000,1,0,0.000238770062,-0.0434330894,0.947362813,0.155116525,0.0669861903,0.926705764,0.747059655
9.285,FLIGHT,-0.000106700651,-0.0383242198,0.97090996,0.706616255,0.00304131583,0.00698393263,0.707555965,-0.0481547345,0.00804200345,0.890807261,0.268671633,0.0596881007,-0.00707017152,0.00119726126,-0.0675167326,0.990461067,0.0350343334,0.0658266904,0.859204493,-0.0371111309,-0.0713817821,0.000443540754,8.26716783,10.1514664,0.037179287,-0.0561010348,-0.00780672748,1512,1484,1418,1497,2000,1,0,-0.00298885414,-0.0258372011,0.940842716,0.168123462,0.0665474673,0.951484409,0.869561598
9.295,FLIGHT,-0.000579143131,-0.0382412774,0.979724996,0.706625113,0.00392443898,0.00798902453,0.707532136,-0.0465115188,0.00854810681,0.87390595,0.238748209,0.0308562257,-0.00962784077,0.00154560003,-0.0668620972,0.998975509,0.0346286708,0.0650912448,0.843623457,-0.0361905193,-0.0696746326,0.000441098661,8.23099848,10.1639054,0.0257656228,-0.0603733452,-0.00884776144,1509,1483,1419,1497,2000,1,0,-0.00368907826,-0.0259050291,0.948844445,0.167134045,0.0654619815,0.697290166,0.989835292
9.305,FLIGHT,-0.00103341066,-0.0381527109,0.988385076,0.706639589,0.00470868248,0.00890134722,0.707502004,-0.0444962812,0.0091456894,0.860585936,0.169172942,0.0180583324,0.000383368221,0.00188974126,-0.0662150879,1.00733236,0.0341949826,0.0643017415,0.827689679,-0.0351879996,-0.0678094857,0.000438368287,8.19675989,10.1280104,0.016975321,-0.0637564249,-0.00330848783,1506,1482,1418,1499,2000,1,0,-0.00437035987,-0.0259692055,0.956689777,0.156127861,0.0653137168,0.622612314,1.84915823
9.315,FLIGHT,-0.00146487789,-0.0380572169,0.996952535,0.706645195,0.00528038318,0.00944612772,0.707485304,-0.0420150051,0.00988900186,0.854479441,0.0852525233,-0.0103300246,-0.00237608959,0.00222940948,-0.0655762365,1.01552819,0.033734235,0.0634599949,0.811422666,-0.0341045093,-0.0657880144,0.000435354069,8.1644964,10.0272717,0.0116350138,-0.048251016,-0.00401432484,1504,1486,1416,1498,2000,1,0,-0.00502780353,-0.0260277149,0.964441453,0.147584395,0.0662510936,0.571572362,1.88785541
9.325,FLIGHT,-0.00187084224,-0.0379539938,1.00548257,0.706656126,0.00556732424,0.00953095844,0.707471049,-0.0394407344,0.0106743589,0.852085185,0.0138467777,-0.0269650167,0.000407043695,0.00256433909,-0.0649460559,1.02355977,0.0332474274,0.0625678836,0.794842362,-0.0329413731,-0.0636126327,0.000432060645,8.13425003,9.89810228,0.0131546375,-0.0476876353,-0.00215824275,1505,1486,1413,1499,2000,1,0,-0.00565735417,-0.0260808676,0.972155645,0.14960756,0.0656003704,0.611039637,1.8920451
9.335,FLIGHT,-0.0022516037,-0.0378432745,1.01399491,0.706674756,0.00575582069,0.00936757045,0.707453114,-0.0369860079,0.01138946,0.85052006,-0.028491457,-0.0515901936,-0.0103092339,0.00289427456,-0.0643250403,1.03142406,0.0327355905,0.061627348,0.777969123,-0.0317003134,-0.0612865154,0.000428492853,8.10606041,9.75732534,0.014794374,-0.0450405026,-0.007063018,1505,1486,1410,1497,2000,1,0,-0.00625888043,-0.0261288357,0.979852278,0.14786156,0.0651925887,0.693496736,1.86994832
9.345,FLIGHT,-0.00260856091,-0.037725965,1.02248881,0.706669365,0.00590667009,0.00911633813,0.707460538,-0.0346667697,0.0119948157,0.848312862,-0.0346382191,-0.0571791142,-0.000194581423,0.00321897096,-0.0637136638,1.03911824,0.0321997849,0.0606403878,0.760823695,-0.0303834558,-0.0588136112,0.000424655726,8.07996468,9.61960197,0.0134464828,-0.0428072797,-0.00194683743,1505,1487,1407,1499,2000,1,0,-0.00683356924,-0.0261725635,0.987530254,0.14184431,0.0647031872,0.792977519,1.83551574
9.355,FLIGHT,-0.00294303491,-0.037602986,1.03095357,0.706684745,0.00604911263,0.00886760445,0.707447132,-0.0324618342,0.012524675,0.844765176,-0.0295654177,-0.0518929741,-0.00870827042,0.00353819399,-0.0631123804,1.0466397,0.0316411004,0.0596090593,0.743427191,-0.0289933339,-0.0561986515,0.000420554498,8.05599749,9.49007744,0.0113402396,-0.0409871804,-0.00610398905,1504,1487,1404,1498,2000,1,0,-0.00738430151,-0.0262134449,0.995176529,0.132276774,0.0647922281,0.882461258,2.06928261
9.365,FLIGHT,-0.00325599258,-0.0374750455,1.03937555,0.706701302,0.00622751075,0.00855689649,0.707432871,-0.0303416022,0.0129926345,0.839891868,-0.0271196988,-0.0602482595,-0.0113994906,0.00385172043,-0.0625216235,1.05398602,0.031060654,0.058535473,0.72580106,-0.0275328886,-0.05344715,0.000416194602,8.03419083,9.36073458,0.00658280789,-0.0219148698,-0.00736620649,1503,1493,1401,1497,2000,1,0,-0.00791213422,-0.0262509571,1.00277641,0.12986627,0.0659860416,0.936034443,2.03163239
9.375,FLIGHT,-0.00354810324,-0.0373428151,1.04774131,0.706711483,0.00635858346,0.00832425958,0.70742431,-0.0282850556,0.0133963365,0.833680092,-0.0268021701,-0.0574742894,0.000197891876,0.00415933837,-0.0619418046,1.06115503,0.0304595886,0.05742179,0.707967065,-0.0260054636,-0.0505653961,0.00041158167,8.01457404,9.24412915,0.00479775354,-0.0192663165,-0.00167943675,1502,1493,1399,1499,2000,1,0,-0.0084167857,-0.0262852221,1.01031826,0.121629139,0.0650872828,0.967648562,1.99495796
9.385,FLIGHT,-0.00381992949,-0.0372069507,1.05603829,0.706719562,0.00653109348,0.00808171709,0.70741748,-0.0262816101,0.0137330524,0.82626287,-0.0253759991,-0.0563949519,-0.00385814287,0.00446084739,-0.0613733139,1.06814474,0.0298390717,0.0562702203,0.689947257,-0.0244147988,-0.0475604419,0.000406721531,7.99717369,7.89551128,-0.220209563,-0.106129538,-0.00514631596,1458,1474,1368,1498,2000,1,0,0.00982682796,-0.0305196661,1.03583587,0.116708628,0.0648052325,0.98694958,1.96025405
9.395,FLIGHT,-0.00407191646,-0.0370681723,1.06425388,0.706742938,0.00683164636,0.00840159354,0.707387561,-0.0243073395,0.0139963513,0.817352976,-0.0256662322,-0.0468808804,0.00173480856,0.00475605893,-0.060816519,1.07495343,0.0292002932,0.0550830183,0.671763941,-0.022765017,-0.0444400787,0.000401620214,7.98201351,7.74097669,-0.222017493,-0.103497999,-0.00294540386,1457,1475,1365,1499,2000,1,0,0.0100493464,-0.0301666254,1.04404705,0.0526518632,0.0645892144,0.781065609,1.92931971
9.405,FLIGHT,-0.00430342531,-0.0369268494,1.0723534,0.706735285,0.00688650678,0.00837680677,0.707394969,-0.0221663585,0.014259345,0.802835499,-0.102431523,-0.0504418259,0.00573778629,0.00504479642,-0.0602717647,1.08157955,0.0285444646,0.053862481,0.653439651,-0.0210606092,-0.0412128088,0.000396283948,7.96911435,7.66435394,-0.214371228,-0.101771198,-0.000336624866,1458,1475,1363,1500,2000,1,0,0.0102890267,-0.0298114678,1.0521428,0.023554214,0.0637191094,0.699261552,1.88999346
9.415,FLIGHT,-0.00451321694,-0.036782839,1.08027421,0.706771321,0.00657043817,0.00777315281,0.707368862,-0.0200548406,0.0145253913,0.782646367,-0.229851041,-0.0836009528,-0.0141674393,0.00532689546,-0.0597393727,1.08802183,0.0278728166,0.0526109442,0.63499712,-0.0193064146,-0.0378878089,0.000390719158,7.95849405,7.62681804,-0.197226119,-0.0822473065,-0.00935053234,1461,1479,1362,1496,2000,1,0,0.0105484287,-0.0294546561,1.06005969,0.0227509541,0.0648516072,0.654003527,1.81430946
